frame_path,mean_brightness,brightness_std,contrast,low_key_ratio,high_key_ratio,saturation_mean,saturation_std,hue_mean,hue_std,color_temperature,edge_density,center_brightness,vertical_symmetry,horizontal_symmetry,texture_contrast,texture_homogeneity,dark_regions_count,bright_regions_count,face_count,face_area_ratio,largest_face_y_position,dof_variance
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_000219.png,47.0754865807551,43.047705327906726,0.9144399423809894,0.847033255231908,0.0260230842962884,0.0,0.0,0.0,0.0,0.4999999994689381,0.0416955109430747,-3.35738391288141,0.8889181856245347,0.808751875530552,12.332407926588589,0.0237072370163969,10,15,0,0.0,0.5,163.59968065766878
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_003257.png,68.12989576122264,62.064527622602355,0.910973469694198,0.6929748655412962,0.0955355716491826,0.0,0.0,0.0,0.0,0.4999999996330539,0.0590253740880771,14.776781910644871,0.7689617574491323,0.7409690789356906,18.1061764343697,0.0163768412333713,4,23,6,0.1340959316257521,0.3661137440758293,246.46334112807176
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_003487.png,29.053131157143618,35.08504459214952,1.207616634558892,0.926363890516002,0.0141447893924064,0.0,0.0,0.0,0.0,0.4999999991395075,0.0511542148144203,13.079530326428454,0.9177811781829724,0.9135655284532472,14.282311298205046,0.0311092462415621,1,4,0,0.0,0.5,188.4577871814257
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_003659.png,52.98176154214814,55.617590600186794,1.0497497417288932,0.7758500186378401,0.0624900154427818,0.0,0.0,0.0,0.0,0.4999999995281395,0.0632554981628414,29.127509452047494,0.8104726389197779,0.8083740285613153,19.436806481835948,0.0185304814748647,1,22,7,0.0727607966345385,0.4206161137440758,197.8892332239336
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_003855.png,52.29853160445178,56.2499860752284,1.075555742044671,0.7922912561904255,0.0649528728899302,0.0,0.0,0.0,0.0,0.4999999995219751,0.0439986154747324,22.49737073326588,0.7794321253715821,0.834195529215467,15.12724749288783,0.0180192998205188,1,9,4,0.08027916821982,0.3767772511848341,205.56534621623229
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_003998.png,71.3479285371958,62.105100900003976,0.8704541545390674,0.6731089248628788,0.10258466904521,0.0,0.0,0.0,0.0,0.4999999996496044,0.0523922999094733,21.68451461739177,0.7780855544731339,0.760493521653829,16.635414379353616,0.0162469415830978,5,26,2,0.0703045955588689,0.3791469194312796,257.57136180858595
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004114.png,52.715163879865806,57.88199124402216,1.098014060358985,0.7864436338463177,0.0715593215826188,0.0,0.0,0.0,0.0,0.4999999995257532,0.0429735342670003,19.574734410778,0.7676757986862672,0.8294989762239632,15.406132597571006,0.017475638864255,1,10,5,0.1772225624367644,0.2274881516587677,169.08948596437352
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004186.png,73.54080355716492,70.73093792957188,0.9617917456995416,0.6717210714095532,0.1403728899302412,0.0,0.0,0.0,0.0,0.4999999996600527,0.0719220938282123,41.83775760157623,0.7753754976616558,0.7180666451574507,21.6266683752518,0.0145693774574715,9,20,4,0.0823925661643324,0.3376777251184834,750.7055814265575
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004233.png,69.90443114649342,68.76274496499383,0.983667898284247,0.6910378614409713,0.127579343948027,0.0,0.0,0.0,0.0,0.4999999996423689,0.0696256456680334,40.18769303477289,0.7824115955557365,0.7269339500004699,20.733224258798582,0.0149704497131481,9,26,5,0.4909107247457266,0.5260663507109005,682.3992032909135
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004482.png,54.25257934394803,57.604005178042506,1.0617744956727275,0.7795642739229991,0.0709735608924862,0.0,0.0,0.0,0.0,0.4999999995391924,0.0457126311305181,19.447883939506895,0.764820084804783,0.8200226003389268,15.929036160401887,0.0175837706390165,1,8,6,0.1829470419085148,0.2180094786729857,217.4583581991514
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004655.png,69.3547047233612,60.77056645938685,0.8762284637237344,0.6829769955801693,0.0938348687363544,0.0,0.0,0.0,0.0,0.4999999996395342,0.0542760530379679,20.859324245167485,0.7816781156256102,0.7672154127106937,16.93908132827171,0.0166809396695366,6,23,5,0.1490295010383939,0.3744075829383886,370.4444594084115
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004867.png,44.653562490015446,51.686239618455986,1.1574941980108222,0.82957026465733,0.0498495660045795,0.0,0.0,0.0,0.0,0.4999999994401343,0.0330156025347462,19.36723201448426,0.8162128848557368,0.8460349430788877,12.961563174764532,0.0195115441610846,1,7,6,0.1356501943660471,0.509478672985782,130.67324049249544
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004908.png,45.78716917833751,53.00898295068262,1.1577257075763765,0.8276565578571808,0.0552645242025666,0.0,0.0,0.0,0.0,0.4999999994539955,0.0360409233718515,19.040830182650836,0.8087032448636305,0.8411330867082442,13.442043535537469,0.0190683759389256,1,8,4,0.0771639863677512,0.2772511848341232,169.3667763059275
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_004951.png,67.45279634165824,59.42908865805209,0.8810470698491193,0.698686032270089,0.0888126364556153,0.0,0.0,0.0,0.0,0.4999999996293705,0.0514304542307897,21.69284506629745,0.7813148865702093,0.7728680294738908,16.5208734847052,0.0170004939348227,4,19,4,0.1336632674796315,0.4016587677725118,220.51210569934915
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_005573.png,94.63432224825604,65.75697692164042,0.6948533607040958,0.5019203631716279,0.1629346610575643,0.0,0.0,0.0,0.0,0.4999999997358252,0.0772039245966238,21.459266334735617,0.742020890043008,0.7171389558006492,24.18013631716566,0.015431626171194,4,25,2,0.0213303424037488,0.4407582938388625,177.1720166273699
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_005672.png,71.9550162415464,68.06198500179119,0.9458963177594696,0.6525107833217956,0.1239782469780073,0.0,0.0,0.0,0.0,0.4999999996525607,0.053457319346078,5.71358964801108,0.7483679621270736,0.7489477190311664,22.667152738857418,0.0148062341574074,3,24,6,0.0653988497790084,0.4597156398104265,60.74305274341861
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_005790.png,56.10674157303371,59.00873879018811,1.0517227882179652,0.7302072794078492,0.072414665317642,0.0,0.0,0.0,0.0,0.4999999995544207,0.0443281058629319,37.22834016720805,0.769578450689078,0.808945119130777,17.282782566300835,0.0170524549141056,4,19,5,0.0475597742158794,0.1007109004739336,92.9109688454972
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_005840.png,47.51053370786517,60.53672774969296,1.2741748597165068,0.7997663613610948,0.0678384099259811,0.0,0.0,0.0,0.0,0.4999999994738009,0.0613784014058256,24.09643418179882,0.8007350983420154,0.7911805166179577,19.93889612751173,0.0168413034942185,1,14,2,0.015575909260344,0.0971563981042654,273.07048790325194
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_005906.png,60.60201887746951,67.91810111818845,1.1207234059881552,0.7182457798604824,0.1082891794025241,0.0,0.0,0.0,0.0,0.4999999995874725,0.1171521380265189,42.368346956706965,0.7660572823836388,0.7999758543387534,29.135051451564863,0.0157566389383646,3,32,0,0.0,0.5,660.7918837520588
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_007956.png,37.64135137653762,39.940250329584494,1.061073759651797,0.8747370733265882,0.0233871611906917,0.0,0.0,0.0,0.0,0.4999999993358368,0.0191304116300122,20.969157702753073,0.884420201330439,0.8736324419538304,8.684245367143085,0.0248672301622941,4,5,0,0.0,0.5,22.544473346700677
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_008077.png,72.31830102774376,55.24594866108409,0.7639276338018106,0.6092676660099047,0.0526086319825336,0.0,0.0,0.0,0.0,0.4999999996543061,0.0361440971297726,3.2428177751744016,0.7772822479010242,0.7828673351229837,12.468292860442832,0.0181189351555968,5,15,2,0.0260829916395974,0.2843601895734597,92.63666334022776
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_008669.png,39.30266853932584,40.07081336424062,1.0195443401557265,0.8863790670429735,0.0224186591405293,0.0,0.0,0.0,0.0,0.4999999993639109,0.0348960274775014,8.966501810533039,0.8517028042379421,0.8536401998895303,12.34372741942407,0.0258262853224036,1,8,2,0.0362173172160391,0.2713270142180095,285.45606068452855
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_009679.png,51.25212671068747,57.82223938550767,1.1281919987259954,0.7885437190478726,0.0706274295755897,0.0,0.0,0.0,0.0,0.4999999995122154,0.0438488471164598,-0.7613391288141003,0.8483424590881137,0.7569226524413483,13.559934066356853,0.0173642929701428,6,9,1,0.0093488737419457,0.2855450236966824,111.45921226893144
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_009764.png,50.80644270195431,50.96948577444632,1.0032091003325614,0.7743057404547633,0.0383007614888971,0.0,0.0,0.0,0.0,0.4999999995079364,0.042108205974759,9.171937403482616,0.8231999083247975,0.7927783068070404,11.84278887933538,0.0196995554953986,6,7,3,0.047223627456201,0.4028436018957346,126.54943857353258
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_010026.png,39.310060439853025,41.21639136572228,1.0484947313662003,0.8841924490121945,0.0255172000639011,0.0,0.0,0.0,0.0,0.4999999993640305,0.0156258320464348,17.81987193141275,0.8723950616510516,0.8838675136703598,7.188218659391432,0.024037318798001,1,9,3,0.1015030086799084,0.3921800947867299,60.61950808563409
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_010103.png,48.47665277703818,47.85251883053879,0.9871250589828774,0.7955828318866819,0.0117884338889184,0.0,0.0,0.0,0.0,0.4999999994842878,0.0283062197135097,13.222186351775918,0.8518462164140378,0.8040326386691852,9.078530093841009,0.0207936115591381,1,4,1,0.0479258746472123,0.4099526066350711,90.54434189552131
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_010176.png,31.660644869268864,37.86997717075917,1.1961214690198931,0.8972888598966932,0.0155792374460833,0.0,0.0,0.0,0.0,0.4999999992103761,0.016600990468076,12.426526971617228,0.9104226247717256,0.8994478083048545,6.32116206673147,0.0261718608058895,3,4,3,0.0810413227541402,0.3613744075829384,61.37661959953757
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_010260.png,46.59359856754886,46.57039344941967,0.9995019655319014,0.8048485009851429,0.0088795995526918,0.0,0.0,0.0,0.0,0.4999999994634456,0.0335115022099153,13.850288220885028,0.8587021746235104,0.8086964840784815,9.049797056639276,0.0214104592670613,1,3,1,0.0495367165450769,0.4099526066350711,134.79487695922606
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_010438.png,41.322581074604614,47.7169737132969,1.1547432991098352,0.8262154534320252,0.0306292933596038,0.0,0.0,0.0,0.0,0.4999999993950039,0.0188874540710367,18.74970711965493,0.8112684799144643,0.8324759926868666,7.829252590746749,0.0207655766205817,1,12,1,0.0690132594919857,0.3507109004739336,45.19247656308889
/Users/kevin.kunkel/Documents/Dev/Uni/ca-friend-foe-analysis/frames/jud_suess/frame_011006.png,58.67527224559348,54.695006151138315,0.9321645041370809,0.7461359763565685,0.0571516055168006,0.0,0.0,0.0,0.0,0.4999999995739261,0.1024349006869375,21.993932717397097,0.8431529952627518,0.7904669013885974,23.754265250665547,0.0197370423165978,3,17,0,0.0,0.5,474.6755444755102
