frame_path,mean_brightness,brightness_std,contrast,low_key_ratio,high_key_ratio,saturation_mean,saturation_std,hue_mean,hue_std,edge_density,center_brightness,vertical_symmetry,horizontal_symmetry,texture_contrast,texture_homogeneity,dark_regions_count,bright_regions_count
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_000219.png,47.0754865807551,43.047705327906726,0.9144399423809894,0.847033255231908,0.02602308429628841,0.0,0.0,0.0,0.0,0.041695510943074714,-3.35738391288141,0.8889181856245347,0.808751875530552,12.332407926588589,0.023707237016396973,10,15
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_003257.png,68.12989576122264,62.064527622602355,0.9109734696941979,0.6929748655412962,0.0955355716491826,0.0,0.0,0.0,0.0,0.05902537408807711,14.776781910644871,0.7689617574491323,0.7409690789356906,18.1061764343697,0.016376841233371305,4,23
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_003487.png,29.053131157143618,35.08504459214952,1.207616634558892,0.9263638905160019,0.01414478939240641,0.0,0.0,0.0,0.0,0.05115421481442036,13.079530326428454,0.9177811781829724,0.9135655284532472,14.282311298205046,0.031109246241562135,1,4
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_003659.png,52.98176154214814,55.617590600186794,1.0497497417288932,0.7758500186378401,0.06249001544278183,0.0,0.0,0.0,0.0,0.06325549816284147,29.127509452047498,0.8104726389197779,0.8083740285613153,19.436806481835948,0.0185304814748647,1,22
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_003855.png,52.29853160445178,56.2499860752284,1.075555742044671,0.7922912561904255,0.06495287288993024,0.0,0.0,0.0,0.0,0.04399861547473241,22.497370733265882,0.7794321253715821,0.834195529215467,15.12724749288783,0.018019299820518846,1,9
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_003998.png,71.3479285371958,62.105100900003976,0.8704541545390674,0.6731089248628788,0.10258466904521008,0.0,0.0,0.0,0.0,0.05239229990947335,21.68451461739177,0.7780855544731339,0.760493521653829,16.635414379353616,0.01624694158309787,5,26
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_004114.png,52.715163879865806,57.88199124402216,1.098014060358985,0.7864436338463177,0.07155932158261888,0.0,0.0,0.0,0.0,0.042973534267000374,19.574734410778,0.7676757986862672,0.8294989762239632,15.406132597571006,0.017475638864255027,1,10
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_004186.png,73.54080355716492,70.73093792957188,0.9617917456995416,0.6717210714095532,0.14037288993024122,0.0,0.0,0.0,0.0,0.07192209382821237,41.83775760157623,0.7753754976616558,0.7180666451574507,21.6266683752518,0.014569377457471541,9,20
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_004233.png,69.90443114649342,68.76274496499383,0.983667898284247,0.6910378614409713,0.12757934394802706,0.0,0.0,0.0,0.0,0.06962564566803345,40.18769303477289,0.7824115955557365,0.7269339500004699,20.733224258798582,0.014970449713148141,9,26
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/jud_suess/frame_004482.png,54.25257934394803,57.604005178042506,1.0617744956727275,0.7795642739229991,0.07097356089248628,0.0,0.0,0.0,0.0,0.045712631130518135,19.447883939506895,0.764820084804783,0.8200226003389268,15.929036160401887,0.017583770639016557,1,8
