feature,importance
edge_density,0.12183298060108241
contrast,0.11159881469574463
mean_brightness,0.09776730258971918
center_brightness,0.08547100956448621
low_key_ratio,0.08162635558215235
texture_contrast,0.08026866278467767
horizontal_symmetry,0.06684925033694983
bright_regions_count,0.06608732221024324
brightness_std,0.06301093491682133
high_key_ratio,0.06121721589220944
texture_homogeneity,0.05977008823678873
vertical_symmetry,0.059266582819228975
dark_regions_count,0.045233479769895994
hue_std,0.0
hue_mean,0.0
saturation_std,0.0
saturation_mean,0.0
