film,annotator_1,annotator_2,n_common,agreement_pct,cohens_kappa,agreement_us,agreement_them,agreement_other
Hans Westmar,Felix,Kevin,421,0.38954869358669836,0.27872340425531916,0.4079601990049751,0.4270833333333333,0.0
Heimkehr,Felix,annotator_2,242,0.384297520661157,0.09708010980783632,0.3132530120481928,0.2808219178082192,0.0
Jud Süß,Felix,Kevin,535,0.4336448598130841,0.22361160874238628,0.34074074074074073,0.44871794871794873,0.0
Triumph des Willens,Felix,Kevin,723,0.9197786998616874,0.03500343170899112,0.9236111111111112,0.0,0.0
