feature,us_mean,us_std,them_mean,them_std,mean_diff,cohens_d,t_statistic,p_value,significant
face_size_ratio,0.018790504962267356,0.0260350236611231,0.0557930824239418,0.09311731946765178,-0.037002577461674444,-0.5412181425072332,-5.430564152880902,1.1566644559746321e-07,True
face_edge_density,0.010330003581613808,0.012147275462362366,0.00186674246808222,0.004486552365435839,0.008463261113531588,0.9242831662952076,5.428476774955024,1.1690527326258199e-07,True
face_bg_contrast,0.19604793524608385,0.1305451763100156,0.11453236415927197,0.08495087056167118,0.08151557108681189,0.7401536240623517,4.699770466202973,3.963555066548135e-06,True
face_high_key_ratio,0.21606765868669214,0.2596055437764408,0.07092610796123404,0.11276582202399126,0.1451415507254581,0.7252040523536379,4.327959859600988,2.0487974767048964e-05,True
face_bg_brightness_diff,0.16813177366498774,0.16507847549370244,0.09898257507986048,0.10290924583130769,0.06914919858512726,0.5027124112083127,3.1656465472390707,0.0017053733552186935,True
lighting_asymmetry,0.1041723911043919,0.0747746889232469,0.0793091342737173,0.06849157798447125,0.0248632568306746,0.34675826001450133,2.389702208296105,0.01747518648082862,True
face_sharpness,21.76291441978425,12.972177329771187,17.562053598631806,12.032300948836303,4.2008608211524425,0.3357715570130808,2.3221181449957453,0.0208913852194069,True
face_brightness,119.25185592792124,44.29379036900899,108.57075005942633,23.013158831483445,10.68110586849491,0.3026194375814414,1.8483118273365333,0.06553472843559853,False
lighting_direction,-0.009863605875375481,0.07303035658031447,0.004035587061074344,0.07648131556876635,-0.013899192936449825,-0.18587835675004377,-1.3318574832783707,0.18391130874109649,False
face_centrality,0.561372696309725,0.1588659897656169,0.5828768815125804,0.18401374484672733,-0.021504185202855464,-0.12509680836390868,-0.9247276097891413,0.35584591225958034,False
face_contrast,39.345034318310084,14.512260475153008,37.92165714354343,11.2918044121155,1.4233771747666566,0.10947265054507885,0.7230539915628147,0.4702063205162276,False
face_low_key_ratio,0.3175851632568577,0.27959210649999167,0.339122997051488,0.2012055981650442,-0.021537833794630312,-0.08842461840245865,-0.5735237668707444,0.5667169475280616,False
face_aspect_ratio,1.0,0.0,1.0,0.0,0.0,0.0,,,False
