feature,PC1_loading,PC1_loading_abs
mean_brightness,0.3490107737440721,0.3490107737440721
low_key_ratio,-0.3443271709656425,0.3443271709656425
brightness_std,0.342245746039868,0.342245746039868
texture_homogeneity,-0.3336736002308122,0.3336736002308122
high_key_ratio,0.3304330310374123,0.3304330310374123
horizontal_symmetry,-0.31583564002439835,0.31583564002439835
vertical_symmetry,-0.31503880785282423,0.31503880785282423
dark_regions_count,0.25068036641384367,0.25068036641384367
texture_contrast,0.24960128085880676,0.24960128085880676
contrast,-0.18624175569545026,0.18624175569545026
bright_regions_count,0.1840491030661113,0.1840491030661113
edge_density,0.1700644704456289,0.1700644704456289
center_brightness,-0.018682437871175715,0.018682437871175715
saturation_std,-2.117582368135751e-22,2.117582368135751e-22
hue_std,0.0,0.0
saturation_mean,0.0,0.0
hue_mean,0.0,0.0
