metric,mean,std,min,max
accuracy,0.5146547681081991,0.03306198203429938,0.48598130841121495,0.5508196721311476
precision,0.5663992695956166,0.18540807272952411,0.4246575342465753,0.7762237762237763
recall,0.5641724260145312,0.27959490264172626,0.31313131313131315,0.8654970760233918
f1,0.5371093832906361,0.1531406531280269,0.36046511627906974,0.6324786324786325
