fold,test_film,train_films,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1
1,jud_suess,"heimkehr, hans_westmar",422,349,0.5100286532951289,0.5181680793744661,0.5,0.9239766081871345,0.648870636550308
2,heimkehr,"jud_suess, hans_westmar",567,204,0.6274509803921569,0.6013392857142856,0.7580645161290323,0.6714285714285714,0.7121212121212122
3,hans_westmar,"jud_suess, heimkehr",553,218,0.481651376146789,0.47909818794774545,0.4574468085106383,0.4095238095238095,0.4321608040201005
